Date,Crude_Oil_mean_diff(1),Gold_mean_diff(1),USD_INR_mean_diff(1),Crude_Oil_std,Gold_std_diff(1),USD_INR_std,Fuel and light_diff(1),Housing_diff(1),Miscellaneous_diff(1),Pan; tobacco; and intoxicants_diff(1),Demo_Shock,GST_Shock
2014-03-31,1.364588132111919,59.324138342815786,0.14154781673265404,1.3948977689663657,15.883046429683947,0.2616534780559322,-0.3099999999999996,0.7800000000000011,-0.21999999999999975,-0.4299999999999997,0,0
2014-04-30,-0.850881885346908,34.54356776646205,-1.1436763309297149,1.1617615918628095,-2.78265973610009,0.5870025916066335,-0.009999999999999787,0.6999999999999993,0.0699999999999994,-0.4399999999999995,0,0
2014-05-31,0.2614725946863956,-38.233131309608325,-0.6812969141708294,1.5257527198308292,-15.265570992873073,0.3659875305210234,-0.40000000000000036,0.5800000000000001,0.08999999999999986,-0.16000000000000014,0,0
2014-06-30,1.1604544899680462,-10.472711736505516,-1.0509995547207893,1.1259856589979302,4.178914885048485,0.6565679640614401,-0.8799999999999999,0.40000000000000036,0.29000000000000004,-0.3600000000000003,0,0
2014-07-31,2.7009301453957733,-5.560828270850379,0.39496278969239995,2.4095528016201815,14.073359141692578,0.4519967798222273,-0.23000000000000043,-6.880000000000001,-0.54,0.03000000000000025,0,0
2014-08-31,-3.863519719915601,28.89897051509115,0.35580999559991255,1.8721243173952058,-16.04430440432295,0.2477617364195388,-0.21999999999999975,-0.2599999999999998,-0.14999999999999947,0.1299999999999999,0,0
2014-09-30,-4.7964806724532565,-16.003724281832092,0.8005713389773774,1.317317532283172,-1.7551260748650321,0.2874331375960066,-0.3799999999999999,-0.5300000000000002,-0.6100000000000003,0.11000000000000032,0,0
2014-10-31,-4.8422943049179,-57.625328163047925,-0.009434819737556666,2.202145622760115,8.465433137810782,0.32695881055442727,-0.48,-0.22999999999999954,-1.0700000000000003,0.040000000000000036,0,0
2014-11-30,-10.499050698261485,-14.501392952538254,0.49725459404142924,3.307632882010895,-2.1963731398776325,0.23503936132239964,-0.009999999999999787,-0.21999999999999975,-0.009999999999999787,-0.22000000000000064,0,0
2014-12-31,-8.175131291928494,-45.73043133279566,0.32960827868917875,3.1895701877674045,-0.9050943836475867,0.20958393061210284,0.06000000000000005,-0.20999999999999996,-0.5599999999999996,0.3200000000000003,0,0
2015-01-31,-16.729216500987185,21.808694325322676,1.103348251011056,4.609670028929373,-1.023794046150993,0.7425667338851454,-0.0900000000000003,-0.16000000000000014,-0.29000000000000004,-0.07000000000000028,0,0
2015-02-28,-13.13751014890407,51.868581176275484,-0.5330751290905624,2.830667617483643,21.354999989546428,0.7349951849155334,0.43000000000000016,-0.1299999999999999,-0.38000000000000034,0.41000000000000103,0,0
2015-03-31,8.450727237354627,-25.887273060191774,-0.16942225369540154,2.4720408664706364,-14.405982580065768,0.21215144033255529,0.8899999999999997,-0.1299999999999999,-0.17999999999999972,0.8499999999999996,0,0
2015-04-30,-1.4530001033436122,-47.22181340997872,0.42605895996094034,2.323666577050784,-3.133511179974448,0.3389722447413156,0.4400000000000004,-0.21000000000000085,0.1599999999999997,0.049999999999998934,0,0
2015-05-31,3.756818077780977,22.10909756747151,0.14045403220436725,3.8313499376012135,-11.010066786571445,0.49305835015385874,0.34999999999999964,-0.11999999999999922,0.18000000000000016,0.20000000000000107,0,0
2015-06-30,4.898181535464865,-1.3725081274519653,1.115779092301537,1.4966517620142148,5.529278145952162,0.24354586343597293,0.4500000000000002,-0.010000000000000675,0.6200000000000001,0.09999999999999964,0,0
2015-07-31,-1.8859091341753569,-17.722950856923035,0.0773122135178852,1.0502268427990413,-6.40609082739784,0.2337848601343466,-0.1299999999999999,-0.15999999999999925,0.3400000000000003,0.17999999999999972,0,0
2015-08-31,-6.845394805486023,-51.151381420994994,-0.17154169648060957,2.786017166192534,23.132694462094456,0.25946652303942414,-0.3899999999999997,-0.040000000000000036,-0.7500000000000004,0.08000000000000007,0,0
2015-09-30,-8.639171647729341,-10.897128845593897,1.3882296544424548,2.7452828350673446,-10.577759904122587,1.003811247190923,0.34999999999999964,0.23999999999999932,-0.3599999999999999,-0.33999999999999986,0,0
2015-10-31,0.2672944750104662,4.9439514952821355,1.2380393882850456,1.1979681478194755,-7.8650479945111,0.2601680404493453,-0.4500000000000002,0.0600000000000005,0.2599999999999998,-0.15000000000000036,0,0
2015-11-30,0.727272900668055,36.181829279119256,-1.1978638388893756,1.6459636988457265,4.269286646990663,0.24986928150399068,-0.019999999999999574,0.13999999999999968,0.16999999999999993,0.14000000000000057,0,0
2015-12-31,-3.2945673393480703,-76.49718260661871,1.0231589610442455,1.9856495239571614,0.5098398749871613,0.36444611106948643,-0.040000000000000036,0.07000000000000028,0.27,0.009999999999999787,0,0
2016-01-31,-7.054306748984516,-13.101039846984804,0.4433492182698018,2.5035482471945203,-9.643703749408516,0.3407769453036086,0.16999999999999993,0.10999999999999943,0.17000000000000037,-0.07000000000000028,0,0
2016-02-29,-6.469026845928056,25.310553193339047,0.7351724375849216,2.6335402598562148,6.793566512709056,0.6286394976327152,-0.1299999999999999,0.14000000000000057,0.0,-0.3200000000000003,0,0
2016-03-31,1.1509525662376774,107.62858072916674,0.9716204688662629,1.6245434552648306,22.592731441171512,0.3527632239395283,-0.7300000000000004,0.1299999999999999,0.4299999999999997,-0.47999999999999865,0,0
2016-04-30,6.23416155465641,40.66086820045598,-1.215402512323294,1.5140294848235152,-21.506729663377502,0.4429506533918943,-1.1199999999999997,-0.020000000000000462,-0.3700000000000001,-0.040000000000000924,0,0
