,Crude_Oil_WTI_mean_diff(1),USD_Index_mean_diff(1),Gold_mean_diff(1),Crude_Oil_WTI_std,USD_Index_std,Gold_std,IP,PPI_diff(1),Covid_Shock
2013-02-28,6.583070591517867,0.11483288719540496,-13.932378859747132,1.677576544332652,0.37627593601096115,14.922259801700191,98.1736,1.0,0
2013-03-31,0.49300820486885755,0.7319303622520721,-42.97922295974308,1.9472754121371278,0.869146783966561,38.9911228196327,98.6434,1.8000000000000114,0
2013-04-30,-2.364579772949213,2.020236567447057,-35.963398180509785,2.011867681333806,0.31536881361436836,14.477731235888017,99.047,-0.30000000000001137,0
2013-05-31,-0.8892716841264274,-0.10049923983487474,-106.877724387429,3.0233024568074756,0.3397722384368294,80.59477712223259,98.9445,-0.5,0
2013-06-30,2.731818459250718,0.6886357394131721,-68.00908868963074,1.4885168791389691,0.8094765349631364,37.360033290920626,99.0383,0.5999999999999943,0
2013-07-31,1.000953362204811,-1.363136499578303,-74.48318814364347,1.5650812492585768,0.8898162308665091,68.2678356771596,99.2221,0.20000000000001705,0
2013-08-31,8.898137144608924,0.9390465476296157,-56.330449329723024,2.572006440931112,0.9180121984982066,36.71290077065728,98.8987,0.09999999999999432,0
2013-09-30,1.8404547951438275,-1.3077285073020164,66.863603071733,1.6627169147642686,0.37289795427428807,43.6376613482393,99.4897,-0.20000000000001705,0
2013-10-31,-0.3035917108709185,-0.3223187880082605,-6.683147638494347,2.5705257479213186,0.8081002559161468,31.839547624267585,100.021,-0.29999999999998295,0
2013-11-30,-5.682891580332878,-1.2929772252621774,-29.150234587296154,2.586387759070568,0.4415944600456883,26.3611171406919,99.9037,-1.4000000000000057,0
2013-12-31,-6.621108129750127,0.9774784917416781,-41.729776399031834,0.8479649345039528,0.21037283997213566,27.167995634654137,100.1582,-1.3000000000000114,0
2014-01-31,3.9627861567905853,-0.5373341878255218,-50.09548310779405,1.425509317666811,0.27528825761621917,19.47698359688285,100.374,0.8000000000000114,0
2014-02-28,-3.037618727911081,0.5028581165131953,19.05238560267867,2.0781010534493727,0.2790776762290787,12.151215431371563,99.9899,1.8000000000000114,0
2014-03-31,5.8185951596214665,-0.3521556232806091,56.92231310698617,2.1677336419686593,0.37831305460855863,31.120373108991878,100.7471,1.8999999999999773,0
2014-04-30,-0.16621507917132305,-0.5868916905912158,35.44435704740363,1.7769467183291674,0.26800104387601215,27.77439415611419,101.7435,1.3000000000000114,0
2014-05-31,1.5257146926153382,-0.01714324951171875,-38.00477818080344,1.6619321166984562,0.2970245595480548,12.770655299457136,101.8273,1.3000000000000114,0
2014-06-30,-0.2400004069010464,0.09571366083054045,-10.885695684523853,1.670441916837958,0.4139192348554785,17.076802568587905,102.2392,-0.30000000000001137,0
2014-07-31,3.3519058227539062,0.4933348156156967,-5.376197451636926,1.666775622589551,0.25193043543456106,30.76109718998218,102.5774,0.30000000000001137,0
2014-08-31,-2.75484986738725,0.10534428518056416,28.47446352475663,1.7746511226424178,0.474260356327856,14.918290863714297,102.7954,-0.30000000000001137,0
2014-09-30,-6.31562720955192,1.3160831236736072,-15.57921729149757,1.6885477356243062,0.49927466235874324,12.9616667107942,102.6322,-1.0,0
2014-10-31,-3.041904994419653,2.595238458542596,-59.92857724144346,1.1771555170257972,0.7751248976838104,18.961332954001257,102.9417,-0.5999999999999943,0
2014-11-30,-8.695156168493412,1.2113867497098596,-12.198143874142716,3.622343630015314,0.47379004080643317,19.23072670872735,102.9611,-3.0,0
2014-12-31,-8.529128469646125,2.05798615689136,-46.751483000661665,2.860009843858808,0.3379882482181648,18.233941990076357,103.5978,-2.5,0
2015-01-31,-16.520455885161617,1.4283964896316093,23.989231821452677,5.21376069211743,0.731947058252911,16.769458115128995,103.6151,-3.9000000000000057,0
2015-02-28,-11.964044778997248,3.8201830777255026,52.756819846413464,2.0189482396110146,1.3094317695722717,37.08764541526349,102.7923,-5.0,0
2015-03-31,3.3992363578394844,1.4808929443359347,-28.014471435546966,1.623166772134979,0.4292451965429274,24.912709734721012,102.1366,-0.9000000000000057,0
2015-04-30,-2.870645860735884,3.420289126309484,-47.142339533025506,2.5023257748201604,1.39073382308263,21.117344508434982,101.7869,0.4000000000000057,0
2015-05-31,6.774004932089802,-0.2862777214545673,22.060395476105896,3.086535274349729,1.2476768950798487,10.35423224337153,101.2255,-0.5999999999999943,0
2015-06-30,4.743904395330524,-2.399903815133243,-1.61356985909606,1.1004530937715455,1.2412887172003984,15.984816969522976,100.7675,2.5,0
2015-07-31,0.45663658488880543,-0.022000711614424517,-17.433187033913327,0.901613544147933,0.7461514905387571,9.23046504041786,100.4588,1.4000000000000057,0
2015-08-31,-8.898636384443805,1.7922727411443446,-52.66817959872151,2.711778661329172,0.5789064951331847,32.277138916563494,101.0893,-0.9000000000000057,0
2015-09-30,-8.040952418273662,-0.584177999785453,-9.380330667867383,2.6485183569228625,1.2206912609080094,21.78539959838973,100.9165,-2.0,0
2015-10-31,2.576190585181827,-0.6199998401460078,5.09048897879461,0.951533654587996,0.5021312566417696,14.246717745055273,100.633,-2.8000000000000114,0
2015-11-30,0.8243071073061472,-0.044004283426133384,36.03529179560678,1.6021279249806644,1.0801128727206968,18.189638250869294,100.1563,-1.5999999999999943,0
2015-12-31,-3.366545261036272,3.3189096970991585,-75.8540871360085,2.1786502960125214,0.9007541880589908,18.945502860592445,99.4366,-1.8000000000000114,0
2016-01-31,-5.595727556402032,-0.6989100716330796,-14.059548117897748,1.9316095596032674,0.6718320249841074,9.138655630921223,98.9471,-2.1999999999999886,0
